time,x,u
1.4,0.42,0.738135
1.4,0.44,0.733378
1.4,0.46,0.729573
1.4,0.48,0.727123
1.4,0.5,0.726279
1.4,0.52,0.727123
1.4,0.54,0.729573
1.4,0.56,0.733378
1.4,0.58,0.738135
1.4,0.6,0.7433
1.4,0.62,0.748209
1.4,0.64,0.752105
1.4,0.66,0.754165
1.4,0.68,0.753535
1.4,0.7,0.74936
1.4,0.72,0.74082
1.4,0.74,0.727162
1.4,0.76,0.70773
1.4,0.78,0.681996
1.4,0.8,0.649578
1.4,0.82,0.610264
1.4,0.84,0.564023
1.4,0.86,0.511009
1.4,0.88,0.451567
1.4,0.9,0.38622
1.4,0.92,0.315665
1.4,0.94,0.240745
1.4,0.96,0.162434
1.4,0.98,0.0818052
1.6,0.02,0.076335
1.6,0.04,0.151654
1.6,0.06,0.224969
1.6,0.08,0.295352
1.6,0.1,0.361958
1.6,0.12,0.424047
1.6,0.14,0.481011
1.6,0.16,0.53238
1.6,0.18,0.577841
1.6,0.2,0.617234
1.6,0.22,0.650563
1.6,0.24,0.677981
1.6,0.26,0.699783
1.6,0.28,0.716391
1.6,0.3,0.728333
1.6,0.32,0.736221
1.6,0.34,0.740726
1.6,0.36,0.742548
1.6,0.38,0.742387
1.6,0.4,0.740922
1.6,0.42,0.738775
1.6,0.44,0.736494
1.6,0.46,0.734529
1.6,0.48,0.733212
1.6,0.5,0.73275
1.6,0.52,0.733212
1.6,0.54,0.734529
1.6,0.56,0.736494
1.6,0.58,0.738775
1.6,0.6,0.740922
1.6,0.62,0.742387
1.6,0.64,0.742548
1.6,0.66,0.740726
1.6,0.68,0.736221
1.6,0.7,0.728333
1.6,0.72,0.716391
1.6,0.74,0.699783
1.6,0.76,0.677981
1.6,0.78,0.650563
1.6,0.8,0.617234
1.6,0.82,0.577841
1.6,0.84,0.53238
1.6,0.86,0.481011
1.6,0.88,0.424047
1.6,0.9,0.361958
1.6,0.92,0.295352
1.6,0.94,0.224969
1.6,0.96,0.151654
1.6,0.98,0.076335
1.8,0.02,0.0716002
1.8,0.04,0.142319
1.8,0.06,0.211299
1.8,0.08,0.277733
1.8,0.1,0.340882
1.8,0.12,0.400101
1.8,0.14,0.454848
1.8,0.16,0.504704
1.8,0.18,0.549378
1.8,0.2,0.588713
1.8,0.22,0.622684
1.8,0.24,0.651397
1.8,0.26,0.675077
1.8,0.28,0.694054
1.8,0.3,0.708753
1.8,0.32,0.719667
1.8,0.34,0.72734
1.8,0.36,0.732343
1.8,0.38,0.735251
1.8,0.4,0.736618
1.8,0.42,0.736957
1.8,0.44,0.736718
1.8,0.46,0.73627
1.8,0.48,0.735888
1.8,0.5,0.735741
1.8,0.52,0.735888
1.8,0.54,0.73627
1.8,0.56,0.736718
1.8,0.58,0.736957
1.8,0.6,0.736618
1.8,0.62,0.735251
1.8,0.64,0.732343
1.8,0.66,0.72734
1.8,0.68,0.719667
1.8,0.7,0.708753
1.8,0.72,0.694054
1.8,0.74,0.675077
1.8,0.76,0.651397
1.8,0.78,0.622684
1.8,0.8,0.588713
1.8,0.82,0.549378
1.8,0.84,0.504704
1.8,0.86,0.454848
1.8,0.88,0.400101
1.8,0.9,0.340882
1.8,0.92,0.277733
1.8,0.94,0.211299
1.8,0.96,0.142319
1.8,0.98,0.0716002
2,0.02,0.0674844
2,0.04,0.134201
2,0.06,0.199402
2,0.08,0.262381
2,0.1,0.322492
2,0.12,0.379164
2,0.14,0.431917
2,0.16,0.480372
2,0.18,0.524259
2,0.2,0.563421
2,0.22,0.597812
2,0.24,0.627498
2,0.26,0.652644
2,0.28,0.673508
2,0.3,0.690424
2,0.32,0.703788
2,0.34,0.714039
2,0.36,0.721639
2,0.38,0.727058
2,0.4,0.730747
2,0.42,0.733127
2,0.44,0.734565
2,0.46,0.735364
2,0.48,0.735751
2,0.5,0.735864
2,0.52,0.735751
2,0.54,0.735364
2,0.56,0.734565
2,0.58,0.733127
2,0.6,0.730747
2,0.62,0.727058
2,0.64,0.721639
2,0.66,0.714039
2,0.68,0.703788
2,0.7,0.690424
2,0.72,0.673508
2,0.74,0.652644
2,0.76,0.627498
2,0.78,0.597812
2,0.8,0.563421
2,0.82,0.524259
2,0.84,0.480372
2,0.86,0.431917
2,0.88,0.379164
2,0.9,0.322492
2,0.92,0.262381
2,0.94,0.199402
2,0.96,0.134201
2,0.98,0.0674844
